index,thread,time,run_index,lock
0,1,0.004,0,ttas
1,1,0.004,1,ttas
2,1,0.004,2,ttas
3,1,0.004,3,ttas
4,1,0.004,4,ttas
5,2,0.008,0,ttas
6,2,0.007,1,ttas
7,2,0.008,2,ttas
8,2,0.007,3,ttas
9,2,0.007,4,ttas
10,4,0.012,0,ttas
11,4,0.012,1,ttas
12,4,0.013,2,ttas
13,4,0.012,3,ttas
14,4,0.012,4,ttas
15,8,0.023,0,ttas
16,8,0.023,1,ttas
17,8,0.022,2,ttas
18,8,0.027,3,ttas
19,8,0.022,4,ttas
20,16,0.082,0,ttas
21,16,0.172,1,ttas
22,16,0.074,2,ttas
23,16,0.091,3,ttas
24,16,0.058,4,ttas
25,32,0.893,0,ttas
26,32,0.302,1,ttas
27,32,0.365,2,ttas
28,32,0.193,3,ttas
29,32,0.231,4,ttas
30,1,0.318,0,bttas
31,1,0.314,1,bttas
32,1,0.338,2,bttas
33,1,0.326,3,bttas
34,1,0.33,4,bttas
35,2,0.218,0,bttas
36,2,0.203,1,bttas
37,2,0.2,2,bttas
38,2,0.192,3,bttas
39,2,0.154,4,bttas
40,4,0.137,0,bttas
41,4,0.146,1,bttas
42,4,0.136,2,bttas
43,4,0.13,3,bttas
44,4,0.135,4,bttas
45,8,0.194,0,bttas
46,8,0.179,1,bttas
47,8,0.178,2,bttas
48,8,0.188,3,bttas
49,8,0.178,4,bttas
50,16,0.366,0,bttas
51,16,0.349,1,bttas
52,16,0.307,2,bttas
53,16,0.372,3,bttas
54,16,0.257,4,bttas
55,32,0.469,0,bttas
56,32,0.463,1,bttas
57,32,0.478,2,bttas
58,32,0.562,3,bttas
59,32,0.543,4,bttas
60,1,0.004,0,tas
61,1,0.005,1,tas
62,1,0.004,2,tas
63,1,0.004,3,tas
64,1,0.004,4,tas
65,2,0.006,0,tas
66,2,0.006,1,tas
67,2,0.005,2,tas
68,2,0.006,3,tas
69,2,0.006,4,tas
70,4,0.01,0,tas
71,4,0.009,1,tas
72,4,0.011,2,tas
73,4,0.015,3,tas
74,4,0.012,4,tas
75,8,0.025,0,tas
76,8,0.031,1,tas
77,8,0.015,2,tas
78,8,0.018,3,tas
79,8,0.015,4,tas
80,16,0.143,0,tas
81,16,0.141,1,tas
82,16,0.026,2,tas
83,16,0.223,3,tas
84,16,0.106,4,tas
85,32,1.13,0,tas
86,32,1.543,1,tas
87,32,0.19,2,tas
88,32,0.658,3,tas
89,32,0.671,4,tas
90,1,0.06,0,standard
91,1,0.049,1,standard
92,1,0.046,2,standard
93,1,0.057,3,standard
94,1,0.058,4,standard
95,2,0.045,0,standard
96,2,0.044,1,standard
97,2,0.044,2,standard
98,2,0.046,3,standard
99,2,0.045,4,standard
100,4,0.032,0,standard
101,4,0.034,1,standard
102,4,0.03,2,standard
103,4,0.033,3,standard
104,4,0.03,4,standard
105,8,0.024,0,standard
106,8,0.027,1,standard
107,8,0.029,2,standard
108,8,0.027,3,standard
109,8,0.048,4,standard
110,16,0.022,0,standard
111,16,0.03,1,standard
112,16,0.023,2,standard
113,16,0.023,3,standard
114,16,0.022,4,standard
115,32,0.02,0,standard
116,32,0.021,1,standard
117,32,0.021,2,standard
118,32,0.02,3,standard
119,32,0.02,4,standard
